amfi_code,cagr,sharpe_ratio,alpha,beta,max_drawdown,expense_ratio_pct,return_rank,sharpe_rank,alpha_rank,expense_rank,dd_rank,fund_score
100016,0.018109279027315184,-0.3210192604995431,0.03766095903586522,-3.3997164323093836e-06,-0.24734440880673303,1.55,0.1,0.175,0.05,0.225,0.85,20.25
100025,0.030531056137846457,-1.0399413574427758,0.044818315138583635,-3.3770718127144e-06,-0.04308263824636349,0.56,0.125,0.1,0.075,0.975,0.1,23.375
100033,0.19908107609699743,0.8082678003905593,0.26513763294976106,1.19852368095744e-05,-0.16217208574644848,1.38,0.85,0.85,0.875,0.6,0.5,78.25
101206,0.1569063981262846,0.717408995989017,0.2084638832063513,1.0627032523163577e-05,-0.11291596329323073,1.6,0.725,0.775,0.7,0.1125,0.225,59.0625
101207,0.0540862719964994,0.052618136475855025,0.10986145021983551,-4.983428560767387e-06,-0.3544691649336603,1.53,0.35,0.35,0.35,0.3125,0.95,40.4375
101208,0.044439263555229314,-4.650400707150914,0.06122876973199783,-6.172389506592562e-07,-0.0016224980244717857,0.79,0.225,0.025,0.175,0.75,0.075,22.875
102885,0.12241237372583735,0.5197971450361778,0.1532967338395749,2.8517447224854624e-05,-0.1085986215250232,1.57,0.575,0.625,0.5,0.175,0.175,47.25
102886,0.00806467235234054,-0.2948889128510891,0.03192179022619046,-7.302382343552434e-06,-0.2800112356639287,1.51,0.025,0.2,0.025,0.4125,0.875,21.1875
102887,0.1132888882904719,0.3846373345033844,0.14810164144013632,2.4964541553620494e-05,-0.21539827112383225,1.64,0.525,0.475,0.45,0.0375,0.75,44.6875
118632,0.1602047007039744,0.7588510310771438,0.2172378301218807,1.3735473143332956e-06,-0.17414075086657232,1.51,0.75,0.825,0.75,0.4125,0.575,70.0625
118633,0.10956163692939236,0.3888288460001742,0.15950537219038657,-7.2092709492735875e-06,-0.18629743138595511,0.72,0.475,0.5,0.525,0.8875,0.65,57.0625
118634,0.11021463268605447,0.29234325101099307,0.17855030924433077,-6.166188152947608e-07,-0.2334488614483311,1.53,0.5,0.45,0.625,0.3125,0.8,51.4375
118635,0.10747506930927275,0.39318819691240553,0.15245254378469922,-1.9476033084582558e-06,-0.1165062450540909,0.89,0.45,0.525,0.475,0.7,0.25,49.125
118636,0.03636466629074353,-0.8505789759662294,0.04967364033576465,1.912627325651111e-06,-0.08316361763638702,0.55,0.15,0.125,0.1,1.0,0.15,26.125
119092,0.04348545501276435,-0.13100916883965188,0.07280688625534465,-6.036840596409494e-06,-0.1440161790933726,1.64,0.2,0.275,0.275,0.0375,0.375,22.6875
119093,0.053808789609553154,-0.04707325681075911,0.0761056787657296,1.2063897153168888e-05,-0.21751396370148224,0.75,0.325,0.325,0.325,0.825,0.775,44.5
119094,0.18692553740148088,0.7305467735561727,0.2548627791767758,6.6433865814595096e-06,-0.20960883862039192,1.38,0.8,0.8,0.8,0.6,0.7,76.0
119095,0.01046629878858063,-0.15165815861644155,0.06797553326037893,-3.7847623024654286e-05,-0.5167775370852656,1.38,0.05,0.225,0.25,0.6,0.975,30.875
119120,0.04024604903168005,-0.7430986305648412,0.05669673512017863,-1.1776029814946254e-06,-0.04328728923970093,0.77,0.175,0.15,0.15,0.8,0.125,25.25
119551,0.17149890631556253,0.8609773262277756,0.2221423476212144,1.5281716990304816e-05,-0.1501238549864533,1.54,0.775,0.9,0.775,0.2625,0.425,69.4375
119552,0.1438678637517985,0.6482414723266906,0.19184076651254145,1.0382317156683725e-05,-0.11803493502764295,0.66,0.65,0.675,0.65,0.925,0.275,66.0
119598,0.213657461839863,0.7116901743847246,0.29514293226849303,1.2913569161170515e-05,-0.2870600572176455,1.43,0.975,0.7,0.95,0.5,0.9,82.25
119599,0.014121082585902611,-0.13617811182970377,0.05145864988150833,-1.249213514712221e-06,-0.5257422117012851,0.72,0.075,0.25,0.125,0.8875,1.0,34.3125
120503,0.12602917506622235,0.5165503915082101,0.17479241469306583,1.7216209032625439e-06,-0.13897862823061635,1.42,0.6,0.6,0.6,0.525,0.35,56.375
120504,0.15533527861345542,0.7146822636441237,0.20293451322522393,1.6351469881022268e-05,-0.12588275606922517,0.8,0.7,0.75,0.675,0.725,0.3,67.125
120505,0.21620844274103246,0.8832556184698839,0.27824886410147365,2.4757676750530896e-05,-0.18188513572116294,1.36,1.0,0.925,0.9,0.65,0.625,87.125
120506,0.11488973983007589,0.40461547832920475,0.16866032864830818,-8.306621887534885e-06,-0.1982565826298267,1.41,0.55,0.55,0.55,0.55,0.675,56.25
120507,0.04935981887404317,-3.6501838785684795,0.06718957546161722,4.4494286648776814e-07,-0.0009773140045925555,0.74,0.3,0.075,0.225,0.85,0.025,28.375
120841,0.09145323201679845,0.25511741256223125,0.12420932914141217,1.2613604771213124e-05,-0.1757361416468729,1.59,0.425,0.425,0.4,0.15,0.6,39.625
120842,0.04574058137590309,-0.058166811414922526,0.07467924324308288,6.739008738076047e-06,-0.24003511326274884,1.56,0.25,0.3,0.3,0.2,0.825,32.25
120843,0.20405972782902082,0.965560651744012,0.26069258574047605,2.0470576025226028e-05,-0.1297396816518679,1.45,0.875,0.975,0.85,0.475,0.325,78.0
120844,0.047184434214071924,-4.000348969233409,0.06440459165072564,2.40383047175318e-07,-0.0011629327956168556,0.6,0.275,0.05,0.2,0.95,0.05,28.25
125497,0.1275481883949634,0.5062729716095955,0.1695246831995745,1.594199883625913e-05,-0.15200013055606398,0.92,0.625,0.575,0.575,0.675,0.45,59.25
125498,0.07662321107779269,0.13479784106103954,0.11066738696945455,1.633260265517202e-05,-0.21117279560132118,0.78,0.375,0.375,0.375,0.775,0.725,47.0
148567,0.20448240377816895,1.0682238272314732,0.27890018238131786,-1.4324631583039166e-05,-0.11265729075028275,1.46,0.9,1.0,0.925,0.45,0.2,79.25
148568,0.15030203724961866,0.6406730942266642,0.21291563403491556,-8.589678643891722e-06,-0.1527259422823477,1.52,0.675,0.65,0.725,0.3625,0.475,61.1875
148569,0.2106603493658472,0.9190465356358282,0.2958614509435513,-2.1656877854961717e-05,-0.1639674294693263,1.6,0.925,0.95,0.975,0.1125,0.525,77.9375
149322,0.09053210165708792,0.2396633677728517,0.1403420187705693,-1.5013454919186106e-05,-0.14844576917771746,1.54,0.4,0.4,0.425,0.2625,0.4,38.4375
149323,0.19563465986072437,0.8328852279505965,0.2602038354528086,9.80470028282651e-06,-0.17248105753451382,1.61,0.825,0.875,0.825,0.075,0.55,69.75
149324,0.21279729078941023,0.7144216579881013,0.29600297161636324,8.470800185762732e-06,-0.31171900300634214,1.52,0.95,0.725,1.0,0.3625,0.925,81.3125
